date,price
2011/4/14,15.1
2011/4/15,15
2011/4/18,14.8
2011/4/19,14.75
2011/4/20,14.95
2011/4/21,15.1
2011/4/22,15.15
2011/4/25,14.95
2011/4/26,15.1
2011/4/27,15.15
2011/4/28,15
2011/4/29,14.9
2011/5/3,14.3
2011/5/4,14.2
2011/5/5,14.15
2011/5/6,14.1
2011/5/9,14.15
2011/5/10,14.2
2011/5/11,14
2011/5/12,14.05
2011/5/13,14.05
2011/5/16,14.05
2011/5/17,14.05
2011/5/18,14.2
2011/5/19,14.05
2011/5/20,13.95
2011/5/23,13.85
2011/5/24,13.9
2011/5/25,14.05
2011/5/26,14.2
2011/5/27,14.3
2011/5/30,14.3
2011/5/31,14.85
2011/6/1,14.65
2011/6/2,14.75
2011/6/3,14.8
2011/6/7,14.8
2011/6/8,14.85
2011/6/9,14.85
2011/6/10,14.65
2011/6/13,14.45
2011/6/14,14.5
2011/6/15,14.65
2011/6/16,14.35
2011/6/17,14.2
2011/6/20,13.8
2011/6/21,13.95
2011/6/22,14.1
2011/6/23,13.95
2011/6/24,14.1
2011/6/27,14
2011/6/28,14
2011/6/29,14.05
2011/6/30,13.9
2011/7/1,14.25
2011/7/4,14.25
2011/7/5,14.15
2011/7/6,14.7
2011/7/7,14.75
2011/7/8,14.6
2011/7/11,14.45
2011/7/12,14.25
2011/7/13,14.2
2011/7/14,14.15
2011/7/15,14.8
2011/7/18,14.6
2011/7/19,14.65
2011/7/20,14.8
2011/7/21,14.85
2011/7/22,14.8
2011/7/25,14.9
2011/7/26,14.9
2011/7/27,14.85
2011/7/28,14.6
2011/7/29,14.45
2011/8/1,14.55
2011/8/2,14.3
2011/8/3,14.05
2011/8/4,14
2011/8/5,13.05
2011/8/8,12.15
2011/8/9,10.85
2011/8/10,11.6
2011/8/11,12.3
2011/8/12,12.25
2011/8/15,12.6
2011/8/16,12.85
2011/8/17,13.1
2011/8/18,13.05
2011/8/19,12.25
2011/8/22,11.85
2011/8/23,12.4
2011/8/24,12.25
2011/8/25,11.9
2011/8/26,12.35
2011/8/29,12.7
2011/8/30,13.55
2011/8/31,13.65
